t4,t5,t6,t7,t8,Avg
16,15,14,16,17,15.6
16,16,14,15,17,15.6
16,15,14,15,17,15.4
16,15,14,15,17,15.4
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,14,16,17,15.8
16,16,15,16,17,16
16,16,14,16,17,15.8
16,16,14,15,17,15.6
16,17,14,15,17,15.8
16,17,14,15,17,15.8
16,17,14,15,17,15.8
17,18,14,15,17,16.2
17,18,14,16,17,16.4
17,17,14,15,17,16
17,17,14,15,17,16
17,17,15,15,17,16.2
16,17,15,15,17,16
17,17,15,15,17,16.2
17,17,14,16,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
18,17,15,15,17,16.4
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
18,17,15,15,17,16.4
17,17,15,15,17,16.2
17,17,15,15,17,16.2
17,17,15,15,17,16.2
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,17,16.4
18,17,14,15,17,16.2
18,17,14,15,17,16.2
18,17,15,15,17,16.4
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,15,15,18,16.6
18,17,14,15,18,16.4
17,17,15,15,18,16.4
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,17,16.2
16,17,15,15,17,16
17,17,15,14,18,16.2
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
17,17,15,15,18,16.4
16,17,15,14,18,16
16,17,15,15,18,16.2
16,17,16,15,18,16.4
16,16,15,15,18,16
16,16,15,15,17,15.8
17,17,15,15,17,16.2
16,17,15,15,17,16
16,16,15,15,17,15.8
16,16,15,15,17,15.8
16,16,15,15,17,15.8
16,17,15,15,17,16
16,17,15,15,17,16
16,17,15,15,17,16
16,17,16,15,17,16.2
17,17,15,14,17,16
16,17,16,15,18,16.4
16,17,15,15,17,16
16,17,15,15,17,16
16,17,16,15,17,16.2
16,17,16,14,18,16.2
17,17,16,14,18,16.4
16,17,16,14,18,16.2
16,17,16,15,18,16.4
16,17,16,15,18,16.4
16,18,16,15,18,16.6
16,17,16,14,18,16.2
16,17,16,14,18,16.2
16,17,16,15,18,16.4
16,17,16,15,18,16.4
15,17,16,15,18,16.2
16,17,16,15,18,16.4
16,17,16,14,18,16.2
16,17,17,15,18,16.6
16,17,16,15,17,16.2
16,17,17,15,18,16.6
16,17,16,15,18,16.4
16,17,17,15,18,16.6
15,17,17,15,17,16.2
15,16,16,14,17,15.6
15,17,17,14,17,16
15,17,17,15,17,16.2
15,16,17,15,18,16.2
15,16,17,15,17,16
15,16,17,14,18,16
15,16,16,15,17,15.8
15,16,17,15,17,16
15,16,17,15,17,16
16,16,17,15,17,16.2
15,16,17,15,17,16
15,17,17,14,17,16
15,16,17,14,17,15.8
15,16,17,15,17,16
16,16,17,15,17,16.2
16,17,17,15,17,16.4
16,17,17,15,16,16.2
15,17,16,14,16,15.6
15,17,16,14,16,15.6
15,16,16,15,16,15.6
16,17,16,15,17,16.2
16,17,16,15,17,16.2
15,16,16,15,17,15.8
15,16,17,15,17,16
15,17,16,14,17,15.8
16,16,16,15,17,16
16,16,16,15,16,15.8
16,16,16,15,17,16
16,16,17,15,17,16.2
15,16,17,15,17,16
15,16,16,14,16,15.4
16,16,17,15,16,16
15,16,17,15,16,15.8
16,15,17,15,17,16
16,15,17,15,17,16
15,15,16,15,16,15.4
15,16,16,14,16,15.4
15,16,16,15,16,15.6
15,16,16,15,16,15.6
16,16,17,15,16,16
16,15,16,15,16,15.6
16,16,17,14,16,15.8
15,16,16,14,16,15.4
16,16,16,14,16,15.6
16,16,16,15,17,16
16,16,16,15,17,16
16,15,16,15,18,16
16,15,16,14,17,15.6
15,15,16,14,17,15.4
16,16,16,14,18,16
15,16,16,15,17,15.8
15,16,17,15,17,16
16,16,17,15,17,16.2
16,15,16,15,17,15.8
16,16,17,15,17,16.2
17,16,16,15,17,16.2
16,16,16,15,17,16
16,16,17,16,17,16.4
16,15,16,16,17,16
16,16,16,17,17,16.4
16,16,16,17,17,16.4
16,16,16,17,17,16.4
16,16,16,16,17,16.2
15,16,16,16,17,16
15,16,17,16,17,16.2
15,15,17,16,17,16
16,16,16,16,17,16.2
16,16,17,16,17,16.4
16,16,16,16,16,16
16,16,17,16,17,16.4
16,16,16,16,17,16.2
16,16,16,16,17,16.2
17,16,16,16,16,16.2
17,16,16,15,16,16
17,16,17,16,17,16.6
16,16,17,16,17,16.4
16,15,17,16,17,16.2
16,15,16,16,17,16
16,15,16,16,17,16
16,15,16,15,17,15.8
16,15,17,15,17,16
16,15,16,16,17,16
15,16,17,16,16,16
16,16,17,16,16,16.2
16,16,17,16,18,16.6
16,16,17,16,18,16.6
16,16,17,16,18,16.6
16,16,17,16,18,16.6
16,17,17,16,18,16.8
16,17,17,16,18,16.8
16,17,17,17,18,17
16,17,17,17,18,17
17,17,18,17,18,17.4
16,17,18,17,18,17.2
16,17,18,17,18,17.2
16,17,17,17,19,17.2
16,17,17,17,19,17.2
16,17,17,17,18,17
16,16,17,17,18,16.8
15,16,17,17,18,16.6
16,17,17,17,18,17
15,17,17,17,19,17
15,17,17,17,19,17
15,16,17,17,19,16.8
15,17,16,17,19,16.8
15,17,16,17,19,16.8
14,17,16,17,19,16.6
15,17,17,17,19,17
16,17,17,17,19,17.2
15,17,17,17,19,17
15,17,17,18,19,17.2
15,17,17,18,19,17.2
16,17,17,18,19,17.4
16,17,18,18,19,17.6
15,18,18,18,19,17.6
15,18,18,18,20,17.8
16,18,18,18,20,18
16,18,18,19,20,18.2
16,18,18,19,20,18.2
16,18,19,19,20,18.4
16,18,19,19,20,18.4
16,18,19,19,20,18.4
16,18,19,19,20,18.4
16,18,18,19,20,18.2
16,18,18,19,20,18.2
16,18,19,19,21,18.6
17,18,19,19,21,18.8
16,18,19,19,21,18.6
16,18,19,20,21,18.8
17,18,18,20,21,18.8
17,18,19,20,21,19
17,18,18,20,21,18.8
17,18,18,20,21,18.8
18,18,18,20,21,19
17,18,18,20,21,18.8
18,18,18,21,21,19.2
18,18,19,21,24,20
18,18,19,21,23,19.8
17,18,19,21,22,19.4
17,19,19,21,22,19.6
17,19,19,21,23,19.8
18,19,19,21,24,20.2
18,19,18,22,24,20.2
19,20,19,21,24,20.6
19,20,19,22,24,20.8
19,20,19,22,24,20.8
18,20,19,22,24,20.6
18,20,19,22,24,20.6
18,20,19,22,25,20.8
19,20,19,22,25,21
18,20,19,22,25,20.8
19,20,19,22,26,21.2
18,20,19,23,26,21.2
18,20,19,24,26,21.4
18,20,19,24,26,21.4
18,20,20,24,26,21.6
18,20,20,25,26,21.8
18,20,20,25,26,21.8
18,20,20,25,26,21.8
18,21,20,25,26,22
19,21,20,25,27,22.4
19,20,20,26,27,22.4
19,21,20,26,27,22.6
18,21,20,26,28,22.6
19,21,21,26,28,23
19,21,20,26,28,22.8
19,21,20,26,28,22.8
19,21,20,26,28,22.8
20,21,20,26,28,23
20,21,20,27,28,23.2
19,21,20,27,28,23
19,22,21,27,29,23.6
20,22,21,27,29,23.8
20,22,21,28,29,24
19,22,21,28,29,23.8
20,22,21,28,29,24
20,22,21,28,29,24
20,23,20,28,29,24
20,22,21,28,30,24.2
20,22,21,28,30,24.2
20,23,21,28,31,24.6
20,23,21,28,30,24.4
20,23,21,29,30,24.6
20,23,21,29,31,24.8
20,23,21,28,31,24.6
20,23,21,29,31,24.8
20,23,21,29,32,25
20,24,21,29,32,25.2
20,24,21,29,32,25.2
21,24,21,29,33,25.6
20,24,21,29,33,25.4
21,24,21,30,33,25.8
21,24,22,30,33,26
21,25,21,30,35,26.4
21,25,21,30,35,26.4
21,26,22,30,36,27
21,26,22,31,36,27.2
21,26,22,31,36,27.2
21,26,22,31,36,27.2
21,26,22,31,37,27.4
21,26,22,31,37,27.4
21,26,22,31,38,27.6
21,26,22,31,38,27.6
25,26,23,32,38,28.8
26,26,23,32,38,29
26,26,22,32,39,29
25,27,22,33,39,29.2
26,26,23,33,40,29.6
26,26,23,33,40,29.6
26,26,23,33,40,29.6
26,27,22,34,40,29.8
26,27,23,34,40,30
26,27,24,34,40,30.2
26,27,24,35,41,30.6
27,27,24,35,41,30.8
27,27,24,35,41,30.8
27,27,24,36,42,31.2
27,27,24,36,42,31.2
27,27,24,36,42,31.2
27,28,25,37,42,31.8
27,28,25,37,42,31.8
28,28,25,37,43,32.2
28,28,25,37,43,32.2
28,28,25,37,43,32.2
28,29,25,37,44,32.6
27,29,26,37,44,32.6
28,29,26,38,44,33
28,28,26,38,45,33
28,28,26,38,45,33
28,29,26,38,45,33.2
28,29,26,39,46,33.6
29,29,27,39,46,34
29,29,27,39,47,34.2
29,29,27,39,47,34.2
29,29,27,39,48,34.4
29,29,27,39,48,34.4
29,29,27,39,48,34.4
29,29,27,40,48,34.6
30,29,27,40,49,35
30,29,27,40,49,35
30,29,27,40,50,35.2
30,29,27,41,50,35.4
30,30,27,41,50,35.6
31,30,27,41,50,35.8
31,30,28,41,50,36
31,30,28,41,50,36
32,30,28,41,51,36.4
32,30,27,42,51,36.4
32,31,27,42,51,36.6
32,31,28,42,51,36.8
32,30,28,42,51,36.6
33,30,28,42,51,36.8
33,31,28,42,52,37.2
35,31,28,42,52,37.6
35,31,28,43,52,37.8
35,31,28,43,52,37.8
36,31,29,43,53,38.4
36,31,29,43,53,38.4
36,31,29,44,54,38.8
36,31,29,44,54,38.8
37,31,29,44,54,39
37,31,29,44,54,39
37,31,29,44,54,39
37,32,29,45,55,39.6
38,32,30,45,55,40
37,32,30,45,55,39.8
38,32,29,45,56,40
38,32,30,45,56,40.2
39,32,29,46,56,40.4
39,32,30,46,56,40.6
39,32,30,47,56,40.8
39,33,31,47,57,41.4
40,33,31,47,57,41.6
40,33,31,47,56,41.4
41,33,31,48,56,41.8
41,35,31,48,57,42.4
41,36,31,48,57,42.6
41,35,31,48,57,42.4
41,35,31,48,57,42.4
42,35,31,49,57,42.8
42,34,31,49,57,42.6
42,36,31,49,58,43.2
43,36,31,49,58,43.4
43,36,31,49,59,43.6
44,36,31,49,59,43.8
44,36,31,49,59,43.8
44,36,31,49,59,43.8
44,37,32,49,59,44.2
45,37,32,50,60,44.8
45,37,33,50,60,45
46,37,33,50,60,45.2
46,37,33,50,60,45.2
46,37,33,50,60,45.2
47,37,33,50,61,45.6
47,38,33,50,61,45.8
48,38,33,51,61,46.2
48,38,33,51,61,46.2
49,38,33,51,61,46.4
49,38,33,51,61,46.4
49,38,34,51,62,46.8
49,38,34,51,62,46.8
49,38,34,51,62,46.8
50,39,35,51,62,47.4
50,39,35,52,62,47.6
50,39,35,52,62,47.6
50,39,35,52,62,47.6
51,39,35,52,62,47.8
51,39,36,53,62,48.2
51,39,35,52,62,47.8
51,39,36,53,62,48.2
51,40,36,54,62,48.6
51,40,36,54,62,48.6
51,40,36,54,63,48.8
52,40,36,54,63,49
52,40,37,54,63,49.2
52,40,37,54,63,49.2
53,40,37,55,63,49.6
53,40,37,55,63,49.6
53,41,37,55,63,49.8
54,41,37,55,63,50
54,41,37,55,63,50
54,41,37,55,63,50
54,41,38,55,63,50.2
55,41,38,56,63,50.6
55,41,38,56,63,50.6
55,41,38,56,64,50.8
55,41,38,56,64,50.8
56,41,38,56,63,50.8
56,41,38,56,64,51
56,42,39,56,64,51.4
56,42,39,56,64,51.4
56,42,39,56,64,51.4
57,43,39,56,64,51.8
57,43,39,56,64,51.8
57,43,39,56,64,51.8
57,43,39,57,64,52
57,43,39,57,64,52
58,43,39,57,64,52.2
58,44,39,57,64,52.4
58,44,39,57,64,52.4
58,44,40,57,64,52.6
58,44,40,57,64,52.6
58,44,40,57,64,52.6
59,44,40,57,64,52.8
60,45,40,57,64,53.2
60,45,40,57,64,53.2
60,45,40,57,64,53.2
60,45,40,58,64,53.4
60,45,40,58,65,53.6
60,45,41,59,64,53.8
61,45,40,59,64,53.8
61,45,40,58,64,53.6
61,45,41,58,64,53.8
61,45,41,59,64,54
61,45,41,59,64,54
61,45,41,59,65,54.2
61,46,41,59,64,54.2
62,46,41,59,64,54.4
61,46,41,60,65,54.6
62,46,41,61,65,55
62,46,41,61,65,55
62,46,42,61,65,55.2
63,47,42,61,64,55.4
63,47,42,61,64,55.4
63,48,42,60,64,55.4
63,48,42,60,64,55.4
63,48,42,60,65,55.6
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,42,60,64,55.6
64,48,42,61,64,55.8
64,48,42,61,64,55.8
64,48,43,61,64,56
64,48,43,61,64,56
65,48,43,61,64,56.2
64,49,43,60,64,56
64,49,43,60,64,56
64,49,43,61,64,56.2
64,49,43,60,64,56
65,49,43,61,64,56.4
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,44,60,64,56.4
65,49,44,60,64,56.4
65,49,44,61,64,56.6
65,49,45,60,64,56.6
65,50,44,61,63,56.6
66,50,45,60,63,56.8
66,50,45,61,63,57
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,64,57.2
66,50,45,61,63,57
66,50,46,61,64,57.4
66,50,46,60,64,57.2
66,50,46,60,64,57.2
65,50,45,60,63,56.6
65,50,45,61,63,56.8
65,50,46,60,63,56.8
66,51,46,60,63,57.2
65,50,47,60,63,57
65,50,47,60,63,57
65,50,46,60,63,56.8
